Season , Episode , Title                               , Parts (if any)   ,"Part (0 - one part, 1 - one of two, 2 - two of two)","Part (0 - one part, 1 - one of two, 2 - two of two)", Doctor      , Note,The Essentials,The Face of Boe,The Doctor Donna,River Song,The Girl Who Waited,The Impossible Girl
9,3, Under The Lake                      , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
9,4, Before The Flood                    , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
9,5, The Girl Who Died                   , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
9,6, The Woman Who Lived                 , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
9,7, The Zygon Invasion                  , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
9,8, The Zygon Inversion                 , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
9,9, Sleep No More                       ,1,0,0, 12th Doctor, ,,,,,,
9,10, Face The Raven                      ,1,0,0, 12th Doctor, ,,,,,,
9,11, Heaven Sent                         , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
9,12, Hell Bent                           , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
10, X1      , The Husbands Of River Song          ,1,0,0, 12th Doctor , Christmas Special,,,,,,
10, X2      , The Return Of Doctor Mysterio       ,1,0,0, 12th Doctor , Christmas Special,,,,,,
10,1, The Pilot                           ,1,0,0, 12th Doctor, ,,,,,,
10,2, Smile                               ,1,0,0, 12th Doctor, ,,,,,,
10,3, Thin Ice                            ,1,0,0, 12th Doctor, ,,,,,,
10,4, Knock Knock                         ,1,0,0, 12th Doctor, ,,,,,,
10,5, Oxygen                              ,1,0,0, 12th Doctor, ,,,,,,
10,6, Extremis                            , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
10,7, The Pyramid At The End Of The World , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
10,8, The Lie Of The Land                 , 1 - (Part Three) ,3,3, 12th Doctor, ,,,,,,
10,9, Empress Of Mars                     ,1,0,0, 12th Doctor, ,,,,,,
10,10, The Eaters Of Light                 ,1,0,0, 12th Doctor, ,,,,,,
10,11, World Enough And Time               , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
10,12, The Doctor Falls                    , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
11, X       , Twice Upon A Time                   ,1,0,0, 12th Doctor , Christmas Special,,,,,,
11,1, The Woman Who Fell To Earth         ,1,0,0, 13th Doctor, ,,,,,,
11,2, The Ghost Monument                  ,1,0,0, 13th Doctor, ,,,,,,
11,3, Rosa                                ,1,0,0, 13th Doctor, ,,,,,,
11,4, Arachnids In The UK                 ,1,0,0, 13th Doctor, ,,,,,,
11,5, The Tsuranga Conundrum              ,1,0,0, 13th Doctor, ,,,,,,
11,6, Demons Of The Punjab                ,1,0,0, 13th Doctor, ,,,,,,
11,7, Kerblam!                            ,1,0,0, 13th Doctor, ,,,,,,
11,8, The Witchfinders                    ,1,0,0, 13th Doctor, ,,,,,,
11,9, It Takes You Away                   ,1,0,0, 13th Doctor, ,,,,,,
11,10, The Battle Of Ranskoor Av Kolos     ,1,0,0, 13th Doctor, ,,,,,,
12, X       , Resolution                          ,1,0,0, 13th Doctor , New Year's Special,,,,,,
12,1, Spyfall: Part One                   , 1 - (Part One)   ,1,1, 13th Doctor, ,,,,,,
12,2, Spyfall: Part Two                   , 1 - (Part Two)   ,2,2, 13th Doctor, ,,,,,,
12,3, Orphan 55                           ,1,0,0, 13th Doctor, ,,,,,,
12,4, Nikola Tesla's Night Of Terror      ,1,0,0, 13th Doctor, ,,,,,,
12,5, Fugitive Of The Judoon              ,1,0,0, 13th Doctor, ,,,,,,
12,6, Praxeus                             ,1,0,0, 13th Doctor, ,,,,,,
12,7, Can You Hear Me?                    ,1,0,0, 13th Doctor, ,,,,,,
12,8, The Haunting Of Villa Diodati       ,1,0,0, 13th Doctor, ,,,,,,
12,9, Ascension Of The Cybermen           , 1 - (Part One)   ,1,1, 13th Doctor, ,,,,,,
12,10, The Timeless Children               , 1 - (Part Two)   ,2,2, 13th Doctor, ,,,,,,
13,1, Rose?                               ,1,0,0, 14th Doctor , 14th Doctor is the 10th Doctor again                           ,,,,,,
13,2, ?                                   ,1,0,0, 14th Doctor , 14th Doctor is the 10th Doctor again                           ,,,,,,
13,3, ?                                   ,1,0,0, 14th Doctor , 14th Doctor is the 10th Doctor again also with 15th Doctor     ,,,,,,
13,4, ?                                   ,1,0,0, 13th Doctor , Christmas Special,,,,,,
